latitude,longitude,year_month,T2M,T2M_MAX
-10.92,-59.61,202301,24.75,30.52
-10.92,-59.61,202302,25.23,31.14
-10.92,-59.61,202303,25.08,32.09
-10.92,-59.61,202304,25.98,33.17
-10.92,-59.61,202305,27.21,34.64
-10.92,-59.61,202306,26.09,34.01
-10.92,-59.61,202307,27.83,36.84
-10.92,-59.61,202308,30.1,38.69
-10.92,-59.61,202309,31.4,40.0
-10.92,-59.61,202310,30.39,39.87
-10.92,-59.61,202311,30.27,39.67
-10.92,-59.61,202312,29.9,38.28
-10.92,-59.61,202313,27.87,40.0
-10.92,-59.61,202401,27.65,35.71
-10.92,-59.61,202402,26.66,35.09
-10.92,-59.61,202403,27.34,36.03
-10.92,-59.61,202404,26.93,33.48
-10.92,-59.61,202405,28.4,36.26
-10.92,-59.61,202406,28.56,36.33
-10.92,-59.61,202407,28.12,37.41
-10.92,-59.61,202408,29.38,39.1
-10.92,-59.61,202409,30.98,39.69
-10.92,-59.61,202410,30.54,40.02
-10.92,-59.61,202411,28.84,36.89
-10.92,-59.61,202412,26.93,36.26
-10.92,-59.61,202413,28.37,40.02
-10.92,-59.71,202301,24.46,30.1
-10.92,-59.71,202302,25.11,31.06
-10.92,-59.71,202303,25.02,33.21
-10.92,-59.71,202304,26.01,35.06
-10.92,-59.71,202305,27.78,36.47
-10.92,-59.71,202306,26.87,35.93
-10.92,-59.71,202307,28.57,37.74
-10.92,-59.71,202308,30.15,39.35
-10.92,-59.71,202309,31.26,40.63
-10.92,-59.71,202310,30.02,40.34
-10.92,-59.71,202311,30.1,39.59
-10.92,-59.71,202312,29.64,39.0
-10.92,-59.71,202313,27.93,40.63
-10.92,-59.71,202401,27.7,37.33
-10.92,-59.71,202402,26.51,35.49
-10.92,-59.71,202403,27.18,36.22
-10.92,-59.71,202404,26.85,34.43
-10.92,-59.71,202405,28.7,37.5
-10.92,-59.71,202406,29.04,37.37
-10.92,-59.71,202407,28.72,38.54
-10.92,-59.71,202408,29.73,39.76
-10.92,-59.71,202409,30.94,40.07
-10.92,-59.71,202410,29.9,40.07
-10.92,-59.71,202411,28.65,37.42
-10.92,-59.71,202412,26.78,37.18
-10.92,-59.71,202413,28.4,40.07
-10.92,-59.81,202301,24.46,30.1
-10.92,-59.81,202302,25.11,31.06
-10.92,-59.81,202303,25.02,33.21
-10.92,-59.81,202304,26.01,35.06
-10.92,-59.81,202305,27.78,36.47
-10.92,-59.81,202306,26.87,35.93
-10.92,-59.81,202307,28.57,37.74
-10.92,-59.81,202308,30.15,39.35
-10.92,-59.81,202309,31.26,40.63
-10.92,-59.81,202310,30.02,40.34
-10.92,-59.81,202311,30.1,39.59
-10.92,-59.81,202312,29.64,39.0
-10.92,-59.81,202313,27.93,40.63
-10.92,-59.81,202401,27.7,37.33
-10.92,-59.81,202402,26.51,35.49
-10.92,-59.81,202403,27.18,36.22
-10.92,-59.81,202404,26.85,34.43
-10.92,-59.81,202405,28.7,37.5
-10.92,-59.81,202406,29.04,37.37
-10.92,-59.81,202407,28.72,38.54
-10.92,-59.81,202408,29.73,39.76
-10.92,-59.81,202409,30.94,40.07
-10.92,-59.81,202410,29.9,40.07
-10.92,-59.81,202411,28.65,37.42
-10.92,-59.81,202412,26.78,37.18
-10.92,-59.81,202413,28.4,40.07
-10.92,-59.91,202301,24.46,30.1
-10.92,-59.91,202302,25.11,31.06
-10.92,-59.91,202303,25.02,33.21
-10.92,-59.91,202304,26.01,35.06
-10.92,-59.91,202305,27.78,36.47
-10.92,-59.91,202306,26.87,35.93
-10.92,-59.91,202307,28.57,37.74
-10.92,-59.91,202308,30.15,39.35
-10.92,-59.91,202309,31.26,40.63
-10.92,-59.91,202310,30.02,40.34
-10.92,-59.91,202311,30.1,39.59
-10.92,-59.91,202312,29.64,39.0
-10.92,-59.91,202313,27.93,40.63
-10.92,-59.91,202401,27.7,37.33
-10.92,-59.91,202402,26.51,35.49
-10.92,-59.91,202403,27.18,36.22
-10.92,-59.91,202404,26.85,34.43
-10.92,-59.91,202405,28.7,37.5
-10.92,-59.91,202406,29.04,37.37
-10.92,-59.91,202407,28.72,38.54
-10.92,-59.91,202408,29.73,39.76
-10.92,-59.91,202409,30.94,40.07
-10.92,-59.91,202410,29.9,40.07
-10.92,-59.91,202411,28.65,37.42
-10.92,-59.91,202412,26.78,37.18
-10.92,-59.91,202413,28.4,40.07
-10.92,-60.01,202301,24.46,30.1
-10.92,-60.01,202302,25.11,31.06
-10.92,-60.01,202303,25.02,33.21
-10.92,-60.01,202304,26.01,35.06
-10.92,-60.01,202305,27.78,36.47
-10.92,-60.01,202306,26.87,35.93
-10.92,-60.01,202307,28.57,37.74
-10.92,-60.01,202308,30.15,39.35
-10.92,-60.01,202309,31.26,40.63
-10.92,-60.01,202310,30.02,40.34
-10.92,-60.01,202311,30.1,39.59
-10.92,-60.01,202312,29.64,39.0
-10.92,-60.01,202313,27.93,40.63
-10.92,-60.01,202401,27.7,37.33
-10.92,-60.01,202402,26.51,35.49
-10.92,-60.01,202403,27.18,36.22
-10.92,-60.01,202404,26.85,34.43
-10.92,-60.01,202405,28.7,37.5
-10.92,-60.01,202406,29.04,37.37
-10.92,-60.01,202407,28.72,38.54
-10.92,-60.01,202408,29.73,39.76
-10.92,-60.01,202409,30.94,40.07
-10.92,-60.01,202410,29.9,40.07
-10.92,-60.01,202411,28.65,37.42
-10.92,-60.01,202412,26.78,37.18
-10.92,-60.01,202413,28.4,40.07
-10.92,-60.11,202301,24.46,30.1
-10.92,-60.11,202302,25.11,31.06
-10.92,-60.11,202303,25.02,33.21
-10.92,-60.11,202304,26.01,35.06
-10.92,-60.11,202305,27.78,36.47
-10.92,-60.11,202306,26.87,35.93
-10.92,-60.11,202307,28.57,37.74
-10.92,-60.11,202308,30.15,39.35
-10.92,-60.11,202309,31.26,40.63
-10.92,-60.11,202310,30.02,40.34
-10.92,-60.11,202311,30.1,39.59
-10.92,-60.11,202312,29.64,39.0
-10.92,-60.11,202313,27.93,40.63
-10.92,-60.11,202401,27.7,37.33
-10.92,-60.11,202402,26.51,35.49
-10.92,-60.11,202403,27.18,36.22
-10.92,-60.11,202404,26.85,34.43
-10.92,-60.11,202405,28.7,37.5
-10.92,-60.11,202406,29.04,37.37
-10.92,-60.11,202407,28.72,38.54
-10.92,-60.11,202408,29.73,39.76
-10.92,-60.11,202409,30.94,40.07
-10.92,-60.11,202410,29.9,40.07
-10.92,-60.11,202411,28.65,37.42
-10.92,-60.11,202412,26.78,37.18
-10.92,-60.11,202413,28.4,40.07
-10.92,-60.21,202301,24.46,30.1
-10.92,-60.21,202302,25.11,31.06
-10.92,-60.21,202303,25.02,33.21
-10.92,-60.21,202304,26.01,35.06
-10.92,-60.21,202305,27.78,36.47
-10.92,-60.21,202306,26.87,35.93
-10.92,-60.21,202307,28.57,37.74
-10.92,-60.21,202308,30.15,39.35
-10.92,-60.21,202309,31.26,40.63
-10.92,-60.21,202310,30.02,40.34
-10.92,-60.21,202311,30.1,39.59
-10.92,-60.21,202312,29.64,39.0
-10.92,-60.21,202313,27.93,40.63
-10.92,-60.21,202401,27.7,37.33
-10.92,-60.21,202402,26.51,35.49
-10.92,-60.21,202403,27.18,36.22
-10.92,-60.21,202404,26.85,34.43
-10.92,-60.21,202405,28.7,37.5
-10.92,-60.21,202406,29.04,37.37
-10.92,-60.21,202407,28.72,38.54
-10.92,-60.21,202408,29.73,39.76
-10.92,-60.21,202409,30.94,40.07
-10.92,-60.21,202410,29.9,40.07
-10.92,-60.21,202411,28.65,37.42
-10.92,-60.21,202412,26.78,37.18
-10.92,-60.21,202413,28.4,40.07
-10.92,-60.31,202301,24.46,30.1
-10.92,-60.31,202302,25.11,31.06
-10.92,-60.31,202303,25.02,33.21
-10.92,-60.31,202304,26.01,35.06
-10.92,-60.31,202305,27.78,36.47
-10.92,-60.31,202306,26.87,35.93
-10.92,-60.31,202307,28.57,37.74
-10.92,-60.31,202308,30.15,39.35
-10.92,-60.31,202309,31.26,40.63
-10.92,-60.31,202310,30.02,40.34
-10.92,-60.31,202311,30.1,39.59
-10.92,-60.31,202312,29.64,39.0
-10.92,-60.31,202313,27.93,40.63
-10.92,-60.31,202401,27.7,37.33
-10.92,-60.31,202402,26.51,35.49
-10.92,-60.31,202403,27.18,36.22
-10.92,-60.31,202404,26.85,34.43
-10.92,-60.31,202405,28.7,37.5
-10.92,-60.31,202406,29.04,37.37
-10.92,-60.31,202407,28.72,38.54
-10.92,-60.31,202408,29.73,39.76
-10.92,-60.31,202409,30.94,40.07
-10.92,-60.31,202410,29.9,40.07
-10.92,-60.31,202411,28.65,37.42
-10.92,-60.31,202412,26.78,37.18
-10.92,-60.31,202413,28.4,40.07
-10.92,-60.41,202301,24.54,29.59
-10.92,-60.41,202302,25.13,30.1
-10.92,-60.41,202303,24.97,31.29
-10.92,-60.41,202304,25.42,31.38
-10.92,-60.41,202305,26.77,35.0
-10.92,-60.41,202306,26.72,35.94
-10.92,-60.41,202307,28.78,38.6
-10.92,-60.41,202308,30.56,39.77
-10.92,-60.41,202309,32.01,41.23
-10.92,-60.41,202310,31.08,41.29
-10.92,-60.41,202311,30.81,39.92
-10.92,-60.41,202312,29.5,38.57
-10.92,-60.41,202313,28.04,41.29
-10.92,-60.41,202401,27.44,36.06
-10.92,-60.41,202402,26.36,33.33
-10.92,-60.41,202403,26.55,32.77
-10.92,-60.41,202404,26.63,32.77
-10.92,-60.41,202405,27.99,36.26
-10.92,-60.41,202406,28.8,37.68
-10.92,-60.41,202407,29.45,39.35
-10.92,-60.41,202408,30.51,40.29
-10.92,-60.41,202409,31.8,40.94
-10.92,-60.41,202410,31.11,41.04
-10.92,-60.41,202411,29.55,38.48
-10.92,-60.41,202412,28.07,38.49
-10.92,-60.41,202413,28.7,41.04
-10.92,-60.51,202301,24.54,29.59
-10.92,-60.51,202302,25.13,30.1
-10.92,-60.51,202303,24.97,31.29
-10.92,-60.51,202304,25.42,31.38
-10.92,-60.51,202305,26.77,35.0
-10.92,-60.51,202306,26.72,35.94
-10.92,-60.51,202307,28.78,38.6
-10.92,-60.51,202308,30.56,39.77
-10.92,-60.51,202309,32.01,41.23
-10.92,-60.51,202310,31.08,41.29
-10.92,-60.51,202311,30.81,39.92
-10.92,-60.51,202312,29.5,38.57
-10.92,-60.51,202313,28.04,41.29
-10.92,-60.51,202401,27.44,36.06
-10.92,-60.51,202402,26.36,33.33
-10.92,-60.51,202403,26.55,32.77
-10.92,-60.51,202404,26.63,32.77
-10.92,-60.51,202405,27.99,36.26
-10.92,-60.51,202406,28.8,37.68
-10.92,-60.51,202407,29.45,39.35
-10.92,-60.51,202408,30.51,40.29
-10.92,-60.51,202409,31.8,40.94
-10.92,-60.51,202410,31.11,41.04
-10.92,-60.51,202411,29.55,38.48
-10.92,-60.51,202412,28.07,38.49
-10.92,-60.51,202413,28.7,41.04
-10.92,-60.61,202301,24.54,29.59
-10.92,-60.61,202302,25.13,30.1
-10.92,-60.61,202303,24.97,31.29
-10.92,-60.61,202304,25.42,31.38
-10.92,-60.61,202305,26.77,35.0
-10.92,-60.61,202306,26.72,35.94
-10.92,-60.61,202307,28.78,38.6
-10.92,-60.61,202308,30.56,39.77
-10.92,-60.61,202309,32.01,41.23
-10.92,-60.61,202310,31.08,41.29
-10.92,-60.61,202311,30.81,39.92
-10.92,-60.61,202312,29.5,38.57
-10.92,-60.61,202313,28.04,41.29
-10.92,-60.61,202401,27.44,36.06
-10.92,-60.61,202402,26.36,33.33
-10.92,-60.61,202403,26.55,32.77
-10.92,-60.61,202404,26.63,32.77
-10.92,-60.61,202405,27.99,36.26
-10.92,-60.61,202406,28.8,37.68
-10.92,-60.61,202407,29.45,39.35
-10.92,-60.61,202408,30.51,40.29
-10.92,-60.61,202409,31.8,40.94
-10.92,-60.61,202410,31.11,41.04
-10.92,-60.61,202411,29.55,38.48
-10.92,-60.61,202412,28.07,38.49
-10.92,-60.61,202413,28.7,41.04
-10.92,-60.71,202301,24.54,29.59
-10.92,-60.71,202302,25.13,30.1
-10.92,-60.71,202303,24.97,31.29
-10.92,-60.71,202304,25.42,31.38
-10.92,-60.71,202305,26.77,35.0
-10.92,-60.71,202306,26.72,35.94
-10.92,-60.71,202307,28.78,38.6
-10.92,-60.71,202308,30.56,39.77
-10.92,-60.71,202309,32.01,41.23
-10.92,-60.71,202310,31.08,41.29
-10.92,-60.71,202311,30.81,39.92
-10.92,-60.71,202312,29.5,38.57
-10.92,-60.71,202313,28.04,41.29
-10.92,-60.71,202401,27.44,36.06
-10.92,-60.71,202402,26.36,33.33
-10.92,-60.71,202403,26.55,32.77
-10.92,-60.71,202404,26.63,32.77
-10.92,-60.71,202405,27.99,36.26
-10.92,-60.71,202406,28.8,37.68
-10.92,-60.71,202407,29.45,39.35
-10.92,-60.71,202408,30.51,40.29
-10.92,-60.71,202409,31.8,40.94
-10.92,-60.71,202410,31.11,41.04
-10.92,-60.71,202411,29.55,38.48
-10.92,-60.71,202412,28.07,38.49
-10.92,-60.71,202413,28.7,41.04
-10.92,-60.81,202301,24.54,29.59
-10.92,-60.81,202302,25.13,30.1
-10.92,-60.81,202303,24.97,31.29
-10.92,-60.81,202304,25.42,31.38
-10.92,-60.81,202305,26.77,35.0
-10.92,-60.81,202306,26.72,35.94
-10.92,-60.81,202307,28.78,38.6
-10.92,-60.81,202308,30.56,39.77
-10.92,-60.81,202309,32.01,41.23
-10.92,-60.81,202310,31.08,41.29
-10.92,-60.81,202311,30.81,39.92
-10.92,-60.81,202312,29.5,38.57
-10.92,-60.81,202313,28.04,41.29
-10.92,-60.81,202401,27.44,36.06
-10.92,-60.81,202402,26.36,33.33
-10.92,-60.81,202403,26.55,32.77
-10.92,-60.81,202404,26.63,32.77
-10.92,-60.81,202405,27.99,36.26
-10.92,-60.81,202406,28.8,37.68
-10.92,-60.81,202407,29.45,39.35
-10.92,-60.81,202408,30.51,40.29
-10.92,-60.81,202409,31.8,40.94
-10.92,-60.81,202410,31.11,41.04
-10.92,-60.81,202411,29.55,38.48
-10.92,-60.81,202412,28.07,38.49
-10.92,-60.81,202413,28.7,41.04
-10.92,-60.91,202301,24.54,29.59
-10.92,-60.91,202302,25.13,30.1
-10.92,-60.91,202303,24.97,31.29
-10.92,-60.91,202304,25.42,31.38
-10.92,-60.91,202305,26.77,35.0
-10.92,-60.91,202306,26.72,35.94
-10.92,-60.91,202307,28.78,38.6
-10.92,-60.91,202308,30.56,39.77
-10.92,-60.91,202309,32.01,41.23
-10.92,-60.91,202310,31.08,41.29
-10.92,-60.91,202311,30.81,39.92
-10.92,-60.91,202312,29.5,38.57
-10.92,-60.91,202313,28.04,41.29
-10.92,-60.91,202401,27.44,36.06
-10.92,-60.91,202402,26.36,33.33
-10.92,-60.91,202403,26.55,32.77
-10.92,-60.91,202404,26.63,32.77
-10.92,-60.91,202405,27.99,36.26
-10.92,-60.91,202406,28.8,37.68
-10.92,-60.91,202407,29.45,39.35
-10.92,-60.91,202408,30.51,40.29
-10.92,-60.91,202409,31.8,40.94
-10.92,-60.91,202410,31.11,41.04
-10.92,-60.91,202411,29.55,38.48
-10.92,-60.91,202412,28.07,38.49
-10.92,-60.91,202413,28.7,41.04
-10.92,-61.01,202301,24.64,29.33
-10.92,-61.01,202302,25.0,29.81
-10.92,-61.01,202303,24.92,30.41
-10.92,-61.01,202304,25.07,29.58
-10.92,-61.01,202305,25.59,32.53
-10.92,-61.01,202306,25.59,35.25
-10.92,-61.01,202307,28.22,38.6
-10.92,-61.01,202308,30.48,39.63
-10.92,-61.01,202309,32.3,41.2
-10.92,-61.01,202310,31.83,41.46
-10.92,-61.01,202311,31.3,40.99
-10.92,-61.01,202312,29.23,38.74
-10.92,-61.01,202313,27.86,41.46
-10.92,-61.01,202401,27.34,36.03
-10.92,-61.01,202402,26.31,32.64
-10.92,-61.01,202403,26.36,31.71
-10.92,-61.01,202404,26.41,30.68
-10.92,-61.01,202405,26.81,35.14
-10.92,-61.01,202406,28.18,37.07
-10.92,-61.01,202407,29.29,39.51
-10.92,-61.01,202408,30.76,40.47
-10.92,-61.01,202409,32.09,41.43
-10.92,-61.01,202410,31.79,40.92
-10.92,-61.01,202411,30.08,39.07
-10.92,-61.01,202412,28.77,38.76
-10.92,-61.01,202413,28.69,41.43
-11.02,-59.61,202301,24.75,30.52
-11.02,-59.61,202302,25.23,31.14
-11.02,-59.61,202303,25.08,32.09
-11.02,-59.61,202304,25.98,33.17
-11.02,-59.61,202305,27.21,34.64
-11.02,-59.61,202306,26.09,34.01
-11.02,-59.61,202307,27.83,36.84
-11.02,-59.61,202308,30.1,38.69
-11.02,-59.61,202309,31.4,40.0
-11.02,-59.61,202310,30.39,39.87
-11.02,-59.61,202311,30.27,39.67
-11.02,-59.61,202312,29.9,38.28
-11.02,-59.61,202313,27.87,40.0
-11.02,-59.61,202401,27.65,35.71
-11.02,-59.61,202402,26.66,35.09
-11.02,-59.61,202403,27.34,36.03
-11.02,-59.61,202404,26.93,33.48
-11.02,-59.61,202405,28.4,36.26
-11.02,-59.61,202406,28.56,36.33
-11.02,-59.61,202407,28.12,37.41
-11.02,-59.61,202408,29.38,39.1
-11.02,-59.61,202409,30.98,39.69
-11.02,-59.61,202410,30.54,40.02
-11.02,-59.61,202411,28.84,36.89
-11.02,-59.61,202412,26.93,36.26
-11.02,-59.61,202413,28.37,40.02
-11.02,-59.71,202301,24.46,30.1
-11.02,-59.71,202302,25.11,31.06
-11.02,-59.71,202303,25.02,33.21
-11.02,-59.71,202304,26.01,35.06
-11.02,-59.71,202305,27.78,36.47
-11.02,-59.71,202306,26.87,35.93
-11.02,-59.71,202307,28.57,37.74
-11.02,-59.71,202308,30.15,39.35
-11.02,-59.71,202309,31.26,40.63
-11.02,-59.71,202310,30.02,40.34
-11.02,-59.71,202311,30.1,39.59
-11.02,-59.71,202312,29.64,39.0
-11.02,-59.71,202313,27.93,40.63
-11.02,-59.71,202401,27.7,37.33
-11.02,-59.71,202402,26.51,35.49
-11.02,-59.71,202403,27.18,36.22
-11.02,-59.71,202404,26.85,34.43
-11.02,-59.71,202405,28.7,37.5
-11.02,-59.71,202406,29.04,37.37
-11.02,-59.71,202407,28.72,38.54
-11.02,-59.71,202408,29.73,39.76
-11.02,-59.71,202409,30.94,40.07
-11.02,-59.71,202410,29.9,40.07
-11.02,-59.71,202411,28.65,37.42
-11.02,-59.71,202412,26.78,37.18
-11.02,-59.71,202413,28.4,40.07
-11.02,-59.81,202301,24.46,30.1
-11.02,-59.81,202302,25.11,31.06
-11.02,-59.81,202303,25.02,33.21
-11.02,-59.81,202304,26.01,35.06
-11.02,-59.81,202305,27.78,36.47
-11.02,-59.81,202306,26.87,35.93
-11.02,-59.81,202307,28.57,37.74
-11.02,-59.81,202308,30.15,39.35
-11.02,-59.81,202309,31.26,40.63
-11.02,-59.81,202310,30.02,40.34
-11.02,-59.81,202311,30.1,39.59
-11.02,-59.81,202312,29.64,39.0
-11.02,-59.81,202313,27.93,40.63
-11.02,-59.81,202401,27.7,37.33
-11.02,-59.81,202402,26.51,35.49
-11.02,-59.81,202403,27.18,36.22
-11.02,-59.81,202404,26.85,34.43
-11.02,-59.81,202405,28.7,37.5
-11.02,-59.81,202406,29.04,37.37
-11.02,-59.81,202407,28.72,38.54
-11.02,-59.81,202408,29.73,39.76
-11.02,-59.81,202409,30.94,40.07
-11.02,-59.81,202410,29.9,40.07
-11.02,-59.81,202411,28.65,37.42
-11.02,-59.81,202412,26.78,37.18
-11.02,-59.81,202413,28.4,40.07
-11.02,-59.91,202301,24.46,30.1
-11.02,-59.91,202302,25.11,31.06
-11.02,-59.91,202303,25.02,33.21
-11.02,-59.91,202304,26.01,35.06
-11.02,-59.91,202305,27.78,36.47
-11.02,-59.91,202306,26.87,35.93
-11.02,-59.91,202307,28.57,37.74
-11.02,-59.91,202308,30.15,39.35
-11.02,-59.91,202309,31.26,40.63
-11.02,-59.91,202310,30.02,40.34
-11.02,-59.91,202311,30.1,39.59
-11.02,-59.91,202312,29.64,39.0
-11.02,-59.91,202313,27.93,40.63
-11.02,-59.91,202401,27.7,37.33
-11.02,-59.91,202402,26.51,35.49
-11.02,-59.91,202403,27.18,36.22
-11.02,-59.91,202404,26.85,34.43
-11.02,-59.91,202405,28.7,37.5
-11.02,-59.91,202406,29.04,37.37
-11.02,-59.91,202407,28.72,38.54
-11.02,-59.91,202408,29.73,39.76
-11.02,-59.91,202409,30.94,40.07
-11.02,-59.91,202410,29.9,40.07
-11.02,-59.91,202411,28.65,37.42
-11.02,-59.91,202412,26.78,37.18
-11.02,-59.91,202413,28.4,40.07
-11.02,-60.01,202301,24.46,30.1
-11.02,-60.01,202302,25.11,31.06
-11.02,-60.01,202303,25.02,33.21
-11.02,-60.01,202304,26.01,35.06
-11.02,-60.01,202305,27.78,36.47
-11.02,-60.01,202306,26.87,35.93
-11.02,-60.01,202307,28.57,37.74
-11.02,-60.01,202308,30.15,39.35
-11.02,-60.01,202309,31.26,40.63
-11.02,-60.01,202310,30.02,40.34
-11.02,-60.01,202311,30.1,39.59
-11.02,-60.01,202312,29.64,39.0
-11.02,-60.01,202313,27.93,40.63
-11.02,-60.01,202401,27.7,37.33
-11.02,-60.01,202402,26.51,35.49
-11.02,-60.01,202403,27.18,36.22
-11.02,-60.01,202404,26.85,34.43
-11.02,-60.01,202405,28.7,37.5
-11.02,-60.01,202406,29.04,37.37
-11.02,-60.01,202407,28.72,38.54
-11.02,-60.01,202408,29.73,39.76
-11.02,-60.01,202409,30.94,40.07
-11.02,-60.01,202410,29.9,40.07
-11.02,-60.01,202411,28.65,37.42
-11.02,-60.01,202412,26.78,37.18
-11.02,-60.01,202413,28.4,40.07
-11.02,-60.11,202301,24.46,30.1
-11.02,-60.11,202302,25.11,31.06
-11.02,-60.11,202303,25.02,33.21
-11.02,-60.11,202304,26.01,35.06
-11.02,-60.11,202305,27.78,36.47
-11.02,-60.11,202306,26.87,35.93
-11.02,-60.11,202307,28.57,37.74
-11.02,-60.11,202308,30.15,39.35
-11.02,-60.11,202309,31.26,40.63
-11.02,-60.11,202310,30.02,40.34
-11.02,-60.11,202311,30.1,39.59
-11.02,-60.11,202312,29.64,39.0
-11.02,-60.11,202313,27.93,40.63
-11.02,-60.11,202401,27.7,37.33
-11.02,-60.11,202402,26.51,35.49
-11.02,-60.11,202403,27.18,36.22
-11.02,-60.11,202404,26.85,34.43
-11.02,-60.11,202405,28.7,37.5
-11.02,-60.11,202406,29.04,37.37
-11.02,-60.11,202407,28.72,38.54
-11.02,-60.11,202408,29.73,39.76
-11.02,-60.11,202409,30.94,40.07
-11.02,-60.11,202410,29.9,40.07
-11.02,-60.11,202411,28.65,37.42
-11.02,-60.11,202412,26.78,37.18
-11.02,-60.11,202413,28.4,40.07
-11.02,-60.21,202301,24.46,30.1
-11.02,-60.21,202302,25.11,31.06
-11.02,-60.21,202303,25.02,33.21
-11.02,-60.21,202304,26.01,35.06
-11.02,-60.21,202305,27.78,36.47
-11.02,-60.21,202306,26.87,35.93
-11.02,-60.21,202307,28.57,37.74
-11.02,-60.21,202308,30.15,39.35
-11.02,-60.21,202309,31.26,40.63
-11.02,-60.21,202310,30.02,40.34
-11.02,-60.21,202311,30.1,39.59
-11.02,-60.21,202312,29.64,39.0
-11.02,-60.21,202313,27.93,40.63
-11.02,-60.21,202401,27.7,37.33
-11.02,-60.21,202402,26.51,35.49
-11.02,-60.21,202403,27.18,36.22
-11.02,-60.21,202404,26.85,34.43
-11.02,-60.21,202405,28.7,37.5
-11.02,-60.21,202406,29.04,37.37
-11.02,-60.21,202407,28.72,38.54
-11.02,-60.21,202408,29.73,39.76
-11.02,-60.21,202409,30.94,40.07
-11.02,-60.21,202410,29.9,40.07
-11.02,-60.21,202411,28.65,37.42
-11.02,-60.21,202412,26.78,37.18
-11.02,-60.21,202413,28.4,40.07
-11.02,-60.31,202301,24.46,30.1
-11.02,-60.31,202302,25.11,31.06
-11.02,-60.31,202303,25.02,33.21
-11.02,-60.31,202304,26.01,35.06
-11.02,-60.31,202305,27.78,36.47
-11.02,-60.31,202306,26.87,35.93
-11.02,-60.31,202307,28.57,37.74
-11.02,-60.31,202308,30.15,39.35
-11.02,-60.31,202309,31.26,40.63
-11.02,-60.31,202310,30.02,40.34
-11.02,-60.31,202311,30.1,39.59
-11.02,-60.31,202312,29.64,39.0
-11.02,-60.31,202313,27.93,40.63
-11.02,-60.31,202401,27.7,37.33
-11.02,-60.31,202402,26.51,35.49
-11.02,-60.31,202403,27.18,36.22
-11.02,-60.31,202404,26.85,34.43
-11.02,-60.31,202405,28.7,37.5
-11.02,-60.31,202406,29.04,37.37
-11.02,-60.31,202407,28.72,38.54
-11.02,-60.31,202408,29.73,39.76
-11.02,-60.31,202409,30.94,40.07
-11.02,-60.31,202410,29.9,40.07
-11.02,-60.31,202411,28.65,37.42
-11.02,-60.31,202412,26.78,37.18
-11.02,-60.31,202413,28.4,40.07
-11.02,-60.41,202301,24.54,29.59
-11.02,-60.41,202302,25.13,30.1
-11.02,-60.41,202303,24.97,31.29
-11.02,-60.41,202304,25.42,31.38
-11.02,-60.41,202305,26.77,35.0
-11.02,-60.41,202306,26.72,35.94
-11.02,-60.41,202307,28.78,38.6
-11.02,-60.41,202308,30.56,39.77
-11.02,-60.41,202309,32.01,41.23
-11.02,-60.41,202310,31.08,41.29
-11.02,-60.41,202311,30.81,39.92
-11.02,-60.41,202312,29.5,38.57
-11.02,-60.41,202313,28.04,41.29
-11.02,-60.41,202401,27.44,36.06
-11.02,-60.41,202402,26.36,33.33
-11.02,-60.41,202403,26.55,32.77
-11.02,-60.41,202404,26.63,32.77
-11.02,-60.41,202405,27.99,36.26
-11.02,-60.41,202406,28.8,37.68
-11.02,-60.41,202407,29.45,39.35
-11.02,-60.41,202408,30.51,40.29
-11.02,-60.41,202409,31.8,40.94
-11.02,-60.41,202410,31.11,41.04
-11.02,-60.41,202411,29.55,38.48
-11.02,-60.41,202412,28.07,38.49
-11.02,-60.41,202413,28.7,41.04
-11.02,-60.51,202301,24.54,29.59
-11.02,-60.51,202302,25.13,30.1
-11.02,-60.51,202303,24.97,31.29
-11.02,-60.51,202304,25.42,31.38
-11.02,-60.51,202305,26.77,35.0
-11.02,-60.51,202306,26.72,35.94
-11.02,-60.51,202307,28.78,38.6
-11.02,-60.51,202308,30.56,39.77
-11.02,-60.51,202309,32.01,41.23
-11.02,-60.51,202310,31.08,41.29
-11.02,-60.51,202311,30.81,39.92
-11.02,-60.51,202312,29.5,38.57
-11.02,-60.51,202313,28.04,41.29
-11.02,-60.51,202401,27.44,36.06
-11.02,-60.51,202402,26.36,33.33
-11.02,-60.51,202403,26.55,32.77
-11.02,-60.51,202404,26.63,32.77
-11.02,-60.51,202405,27.99,36.26
-11.02,-60.51,202406,28.8,37.68
-11.02,-60.51,202407,29.45,39.35
-11.02,-60.51,202408,30.51,40.29
-11.02,-60.51,202409,31.8,40.94
-11.02,-60.51,202410,31.11,41.04
-11.02,-60.51,202411,29.55,38.48
-11.02,-60.51,202412,28.07,38.49
-11.02,-60.51,202413,28.7,41.04
-11.02,-60.61,202301,24.54,29.59
-11.02,-60.61,202302,25.13,30.1
-11.02,-60.61,202303,24.97,31.29
-11.02,-60.61,202304,25.42,31.38
-11.02,-60.61,202305,26.77,35.0
-11.02,-60.61,202306,26.72,35.94
-11.02,-60.61,202307,28.78,38.6
-11.02,-60.61,202308,30.56,39.77
-11.02,-60.61,202309,32.01,41.23
-11.02,-60.61,202310,31.08,41.29
-11.02,-60.61,202311,30.81,39.92
-11.02,-60.61,202312,29.5,38.57
-11.02,-60.61,202313,28.04,41.29
-11.02,-60.61,202401,27.44,36.06
-11.02,-60.61,202402,26.36,33.33
